ID,LON,LAT,田,その他農用地,森林,荒地,建物用地,道路,鉄道,その他の用地,河川地及び湖沼,海浜,海水域,ゴルフ場,解析範囲外
"108",139.509767,36.196274,31215,71658,385556,7842,60174,791,114,8361,401,0,0,6194,0
"109",139.383776,36.240966,28933,70652,385382,7810,56247,739,104,7844,15,0,0,6134,0
"110",139.197791,36.264558,16269,47997,373085,7314,29765,426,82,5502,108,0,0,5085,0
"111",139.119795,36.312851,6817,27310,256836,6733,11649,212,35,3184,25,0,0,2019,0
"112",139.055798,36.384841,6158,27114,256820,6733,10070,193,35,3064,127,0,0,2019,0
"113",139.049790,36.597016,3006,9572,140732,3018,3458,161,18,1344,4,0,0,411,0
"114",139.094783,36.657811,500,3095,55930,414,618,0,0,619,46,0,0,103,0
"115",138.888806,36.550917,1747,11322,97891,3487,2312,0,8,1176,14,0,0,809,0
"116",139.038790,36.622013,2376,4240,82434,2577,2369,117,15,665,5,0,0,308,0
"117",139.075800,36.290952,5308,16338,81203,424,8997,83,34,1164,37,0,0,2563,0
"118",138.999805,36.321746,0,26,74,0,187,0,0,12,9,0,0,0,0
"119",138.875814,36.381236,465,1193,12826,96,188,0,0,29,4,0,0,173,0
"120",138.888815,36.321243,162,883,9875,19,579,25,1,54,101,0,0,57,0
"132",139.280777,36.434541,194,818,41488,2026,662,0,4,77,6,0,0,51,0
